playlist_id,track_ids
7,4492 15779 20443 5042 10300 17154 15908 11641 4052 11636
25,699 4202 1900 19134 16869 4649 800 14338 7077 5620
29,8001 2159 3903 12075 15341 15886 9231 1944 16708 15506
34,14751 6581 6285 6951 11507 19540 1980 14697 1850 9803
50,19166 20287 15354 12963 17429 6897 15954 6621 20037 32
52,8456 9441 1434 17247 11425 8378 14827 6659 18615 5815
60,4111 559 4916 8173 18904 3445 18669 13940 14289 10201
64,5604 10089 5726 15038 12507 15547 4014 12765 9717 8067
77,7478 1461 15498 13542 20242 19426 1698 13998 5947 13424
80,14683 9670 18026 16391 10203 15335 12226 7323 12295 10694
106,15474 11275 20263 10567 16494 11740 5572 1591 5020 6103
138,19825 11451 18856 5882 5651 6137 18824 15322 3552 9473
143,20172 868 4401 8491 14732 10788 15187 10251 14277 1149
149,19783 12182 13980 15570 4364 10496 6892 9537 14758 6331
169,7157 11268 6901 2253 14213 4710 18615 19858 19976 9982
180,6433 14453 17515 436 16846 2402 17034 15204 2117 7400
210,19305 2006 16583 14904 394 387 10977 18743 16486 5429
231,508 17200 1687 6695 1149 2897 15931 20077 4109 10481
241,5359 1641 14178 4058 3375 18421 3788 8934 4026 920
244,13782 3055 15209 16760 17096 10391 14395 13237 3190 360
256,1060 19462 3600 8167 4640 5655 18404 12666 4447 4615
258,4364 11366 14591 360 6556 1746 14395 6253 15209 13782
265,14180 8155 16331 15769 11200 16009 13032 387 11243 5664
268,5817 3855 3750 56 18249 4743 14149 559 18904 4023
271,19466 14306 6788 394 8342 16100 15931 19075 8033 12196
272,12712 15988 6672 15098 2859 18425 1181 8731 13609 17869
275,1719 10264 318 13237 11107 14591 360 13782 7619 15680
277,7224 10481 7545 6971 6220 1023 11715 8640 14659 20163
290,14907 11715 10957 10481 13406 1253 4513 18404 507 2886
310,8749 6557 20443 16451 12164 16973 13259 4052 9963 9676
326,17034 20169 9941 18074 10636 3811 1069 16905 8304 12639
365,8437 14659 16433 20461 12765 13129 13212 1588 9984 368
392,6933 10496 13139 15710 11070 18440 10169 14665 11107 13959
407,10659 7550 2920 5818 17404 7133 15485 9528 5527 1874
413,15090 37 10691 18399 963 12739 1641 2164 19382 20135
422,8640 3256 4433 13297 4089 10481 2922 14012 16822 2489
432,3944 16930 13972 520 17359 5286 6577 8498 8950 7931
455,13276 11016 395 4072 5527 2807 14718 12225 13573 10249
470,5606 12510 7506 2997 648 868 17652 15204 20172 3617
492,8749 19662 11233 10100 19783 15360 1063 14765 961 5924
495,17820 11074 10100 17200 9508 14154 8749 20434 5679 14916
497,13034 13990 13101 20268 15907 14583 2117 2129 4267 7972
505,1898 9229 3855 14790 18040 3950 6448 559 14149 13730
509,5606 16820 8767 7506 2437 9291 20167 14023 1196 2997
514,17972 2740 17096 15670 1494 17881 9061 16509 8481 5928
529,7506 1111 13785 20172 8491 17584 15204 11943 20169 16494
532,4710 6489 2417 3471 8796 12490 5947 6062 19858 19887
537,20145 2672 12908 20373 17907 18986 1730 3351 5658 5707
545,16465 18285 6925 6367 1830 20371 5252 18479 4087 19091
564,11882 13876 15722 15432 2359 11237 13310 12381 6223 12576
567,12225 2631 15974 4072 18751 7953 7808 10316 4201 7844
580,20172 4949 411 648 10848 10251 1149 18920 4401 3830
582,17634 358 14597 15498 5679 4909 8358 5309 11496 394
592,16708 17586 9257 19340 18669 18275 15050 1060 12404 14430
611,4417 17524 9913 12426 19991 11180 2980 11803 15542 16433
615,10081 10870 11016 1039 16336 913 19200 9242 4696 15694
619,6577 18303 11715 10201 13129 11400 18426 2166 11740 3565
622,3700 8300 9982 6985 6093 9051 16311 11283 624 15429
625,7157 19858 1012 5971 2253 14213 12929 1374 11635 13043
631,11938 16274 19494 17301 2160 17980 5987 16482 8595 6530
633,6892 13980 14758 3245 18728 5089 3190 18401 15578 14591
636,12173 9670 6 17764 2212 3832 15633 16861 845 10694
642,1534 9710 17918 11474 12438 9291 3073 3245 19555 15209
646,1144 18899 396 15495 5846 3403 1149 1085 14994 15053
676,573 778 18649 9712 10250 5576 3885 9624 11739 20134
683,4720 699 16486 7153 3491 1020 5524 14178 5534 888
686,18289 11654 2212 9961 3212 14679 19399 9168 10203 4255
704,3830 2497 411 2579 14008 16502 11647 4401 18920 14826
709,17663 10834 9834 1992 14147 9473 19154 9246 3471 12897
714,15347 11756 5099 15942 3304 8910 10323 5542 13442 7193
719,5054 12919 4926 10222 2680 19529 10910 17010 2652 7435
721,573 2037 7619 9624 11032 18389 11119 9712 11914 3637
724,3410 17550 16080 20213 19486 10367 10992 15386 5003 9093
731,20169 4013 7153 12721 19838 1020 14668 5192 15781 14247
735,10496 6253 18728 4364 17096 11366 18266 17631 11896 7059
737,4089 508 10481 2989 7081 15038 519 9886 4799 3256
740,2508 17200 4800 7544 9003 4148 56 5750 12623 8138
744,15775 11636 3001 15090 4998 16303 5463 20120 19991 10346
746,9253 658 1322 3860 5655 5474 2236 8017 17563 14022
774,8160 12633 8377 1724 11196 8360 13535 10684 11661 16817
788,15474 11226 6103 20197 4600 15259 6214 4060 5768 6518
818,519 13154 8640 6433 9120 6823 20163 7224 17253 8437
859,6776 4800 8045 6408 10930 1253 7544 12623 1060 8709
914,19254 1085 4058 8362 16994 13891 18729 16451 5463 1443
924,11196 10684 5089 4106 2891 18096 10567 8118 11661 17556
925,2551 20232 12712 17663 663 13223 6672 12395 2859 5651
926,18168 7163 4514 19431 18878 11664 1443 3189 8331 8866
927,7363 1979 11729 20007 16930 1473 9314 6577 6492 8950
949,2873 18096 3295 19605 19662 12436 15578 4106 17597 13250
957,4079 4268 2783 7914 6084 17052 17971 6309 5470 2758
961,3961 9504 8047 11510 17241 13973 12895 19969 14961 6624
988,5186 4615 8218 8356 15886 8001 2159 4347 11133 3600
994,7539 9175 20262 14774 13384 2638 16351 11088 18983 4737
1016,4347 4549 1944 7260 10269 8356 12775 371 14172 8985
1021,12804 1246 2915 15392 5700 17383 4443 15503 19135 2863
1027,6509 5965 13711 17744 10916 8413 7344 11368 2693 10511
1046,4720 10850 3097 19008 11320 1056 5633 5739 10438 3011
1057,7100 2090 9963 9007 12802 11417 17530 653 19834 9050
1065,16502 12499 8145 19376 8048 6844 8426 344 18956 14280
1066,3622 9681 7904 3375 3648 2897 15941 7499 2853 5846
1087,2627 37 16994 6353 13029 10591 4910 1111 9974 10706
1092,19770 9579 9804 14306 14904 2665 19466 18743 1641 7321
1099,18743 15900 17516 16107 9163 11369 12510 4765 9337 2151
1103,3698 4301 16579 1489 10137 8627 11947 3001 4359 13154
1108,15312 9060 12173 3413 9670 17764 10841 4255 2212 12295
1115,3424 817 16579 12715 7989 4301 9984 16756 5968 2862
1120,6113 7133 953 18051 1813 17357 10019 7174 4881 16491
1126,14826 14309 10496 6981 6103 8160 868 18855 10591 4401
1129,7550 17353 4201 14832 323 17404 10316 8254 10249 11016
1147,6197 13238 8297 2392 14784 11654 10257 10410 15312 15543
1163,7544 6868 8017 12931 8709 9257 11882 8466 14430 16845
1169,11882 12666 14471 13406 20193 14022 1905 11930 14907 17586
1174,15752 11174 6423 9465 1428 17312 12830 12360 17776 11045
1238,1111 19317 8018 5074 7077 1523 1422 3431 4910 13682
1254,8018 80 2780 6933 17568 1195 2437 7009 17786 1719
1274,13542 2674 17568 19398 13139 8749 4965 2497 17786 5881
1285,3876 8849 4346 1588 5193 8540 13624 12668 16905 10346
1302,1357 18763 17166 15092 11417 14827 7931 17247 19597 8113
1316,19733 5482 3893 20415 5661 7070 16944 6078 4397 15458
1319,10698 3534 3473 9477 5018 4148 8600 12170 17026 14471
1341,5890 18446 4052 13865 12822 5665 18575 15558 15438 11716
1346,7516 11251 4347 412 18830 17042 14949 9571 15843 20491
1350,3242 1271 13052 12744 20232 12395 3486 268 11011 5355
1353,6556 573 16612 18389 7092 778 318 17538 9309 1794
1363,14904 1372 6491 10861 15775 4944 3996 11227 15771 12783
1371,16673 19339 1944 5925 18668 18290 13803 8985 12075 14134
1379,6569 16128 16477 18352 9083 4281 1933 2085 18316 16064
1383,9051 1056 3700 15664 19773 17699 13787 456 16311 624
1390,4865 14668 18361 9508 17200 8169 15090 2964 4603 11496
1398,13906 8996 6695 13041 4952 2520 8164 11970 10038 15235
1404,5023 5612 15036 5906 3021 15640 14255 387 17903 19770
1415,16630 12414 16199 1681 2084 6712 104 13561 2811 13418
1417,11227 18244 6313 10446 17748 14017 9216 820 13215 903
1454,16583 3453 12762 20135 20461 10691 10466 9804 10055 2858
1456,13251 18358 2423 19192 4433 8021 18945 12997 16163 16254
1463,9060 12226 9670 18057 17764 2186 3982 2869 16861 10926
1481,1641 19305 4745 4058 18743 3551 699 1020 411 5023
1505,13003 15386 17550 20213 11774 13518 16080 3410 16759 10367
1519,1195 17034 17568 4113 482 14665 15713 5997 17786 6015
1524,18231 14659 17947 20461 9007 16873 19368 4011 5279 17247
1534,19205 8297 2392 15543 3963 12173 10002 18026 3982 8840
1542,214 19295 17213 20244 4298 9625 19115 20421 12592 7066
1545,6667 19192 2423 14612 3022 3650 5639 2052 18063 2006
1554,15771 20172 315 10788 14008 8491 4288 411 19377 4600
1560,15312 17764 9670 18289 7323 4255 15241 9961 14679 352
1588,12046 13129 1192 9388 11715 14443 9718 4774 6098 10201
1590,15328 1547 20197 7053 5171 1328 2700 10418 14345 11765
1601,16502 14732 11943 4401 2919 868 20172 10711 20515 12488
1637,6704 18599 4199 6733 6868 3337 7517 8045 15446 11047
1639,18987 9093 15386 20351 3410 9231 13886 9602 17550 521
1661,6379 17646 11951 3264 15053 344 4923 18578 5640 4506
1673,405 1502 9508 8138 17200 4743 6695 14149 1944 10491
1679,12908 740 4457 4857 14190 7153 18576 15100 19838 20540
1682,14360 1290 7989 10957 12910 18262 607 14662 2980 11157
1692,579 12507 18262 20372 1290 308 13624 11157 607 17984
1701,5247 3511 11407 1066 18490 12129 1730 15362 19928 6139
1703,15781 3551 5100 10706 4026 6843 2912 11357 1900 5359
1712,13034 20555 19576 4305 9578 19721 18982 11403 10985 5669
1713,1069 20287 5112 667 1899 14173 13823 9061 13971 15725
1729,7989 3001 14662 3698 3424 6823 16673 9778 16536 17984
1730,5149 3961 18856 2918 20005 7490 4672 662 15099 18755
1731,1329 8296 2591 19396 1813 7539 13269 10019 11478 10237
1734,14309 8229 4057 10828 12963 6981 13671 6245 11405 4364
1740,15312 16861 3919 2186 3413 18701 16585 19205 20121 5878
1742,14826 17487 2957 17346 11943 15187 10848 20526 5206 2919
1747,6780 18504 8486 3377 17321 10237 8296 17102 836 12053
1755,6892 11233 1724 14668 19844 18617 11661 11196 19590 12461
1766,4401 20295 13866 4350 2332 12013 20263 15715 3976 2919
1807,797 13216 15771 8491 20051 16379 12436 16994 963 1149
1814,17383 15392 17345 15548 15667 17748 12804 11231 15503 19135
1820,5817 3950 12066 16008 6448 19890 13185 1247 13862 8268
1852,20120 1710 3304 11740 14360 7131 6823 16083 17990 16297
1854,2997 20172 8018 11648 4514 2151 10848 11664 11943 14732
1871,19711 10511 17963 13354 10916 17315 13027 17534 18009 16267
1880,9118 125 14007 4376 6799 1243 5487 16800 16436 7527
1881,2581 13402 8540 16433 4346 1588 3876 5193 12668 11648
1883,4998 12622 17554 18110 13202 2518 316 15410 6309 6436
1885,10706 1587 14378 17346 1133 5359 1714 10239 4202 4026
1898,6409 11774 6985 1012 14213 4710 18615 7739 12708 4998
1904,11496 4743 18743 15498 8539 12311 12032 7896 7460 956
1907,6253 18381 8956 3885 13980 4795 15578 11206 10264 18728
1912,17918 16820 18503 10636 3431 7728 9974 15333 19217 8018
1916,18644 10434 11916 15778 18830 17056 11344 10543 14134 19155
1927,8018 5576 8798 18982 11403 5773 6937 1895 19163 20145
1953,19462 1300 3624 658 12931 11882 1365 2236 9253 5655
1958,1322 6408 15050 12931 5746 7870 4800 14751 3410 9257
1959,9231 17820 8169 18830 8356 16457 12075 13599 1476 1253
1963,16760 13980 6253 3885 11206 13139 14219 8956 17239 5881
1967,6092 15949 13370 11837 11530 10990 2608 9737 6054 13735
1978,17764 9670 3413 3919 15312 6 9060 9961 12295 10694
1979,9202 13154 20532 9592 9120 17535 1951 16144 7195 17896
